"name","variation","measurement_type","variation_type","mapping_rows","muscle_level_rows","mapping_status"
"Ab Rollout","","reps","minor",8,3,"ok"
"Bench Dips","","hybrid","minor",6,1,"ok"
"Bench Dips","Feet Elevated","hybrid","minor",6,1,"ok"
"Bench Press","","load","major",10,3,"ok"
"Bench Press","Flat","load","major",10,3,"ok"
"Bench Press","Incline","load","major",10,3,"ok"
"Bicep Curl","","load","major",5,1,"ok"
"Bicep Curl","Hammer","load","major",6,3,"ok"
"Bicep Curl","Hammer Incline","load","major",6,3,"ok"
"Bicep Curl","Incline","load","major",5,1,"ok"
"Bicep Curl","Standing","load","minor",0,0,"no_mapping"
"Bicep Curl","Zottman","load","major",6,2,"ok"
"Bird dog plank","","reps","minor",9,4,"ok"
"Bulgarian Split Squat","","load","major",11,5,"ok"
"Chest Fly","","load","minor",7,2,"ok"
"Chest Fly","Flat","load","major",7,2,"ok"
"Crunch","","reps","minor",3,1,"ok"
"Db Kickbacks","","load","minor",6,1,"ok"
"Dead Bug","","reps","minor",7,3,"ok"
"Fingerboard Hang","","time","minor",4,2,"ok"
"Fire Hydrant","","reps","minor",4,2,"ok"
"Floor Press","","load","major",0,0,"no_mapping"
"Frog Pump","","reps","minor",0,0,"no_mapping"
"Frog Pump Hold","","time","minor",0,0,"no_mapping"
"Front Raise","","load","minor",7,2,"ok"
"Glute Bridge","","hybrid","minor",5,2,"ok"
"Hamstring Floor Curl","","load","major",8,2,"ok"
"Hanging Leg Raise","","reps","minor",6,2,"ok"
"Heel Drop","","reps","minor",6,2,"ok"
"Heel Drop","Bent Knee","reps","minor",6,2,"ok"
"Heel Drop","Bent Knee Single Leg","reps","minor",6,2,"ok"
"Heel Drop","Single Leg","reps","minor",6,2,"ok"
"Hip Rotation Stretch","","stretch","minor",4,2,"ok"
"Hip Thrust","","load","major",7,3,"ok"
"Hollow Hold","","time","minor",7,3,"ok"
"Incline Leg Raise","","reps","major",2,0,"incomplete"
"Incline Reverse Crunch","","reps","minor",0,0,"no_mapping"
"Kickbacks","","load","minor",6,1,"ok"
"Lateral Raise","","load","minor",6,2,"ok"
"Lat Pullover","","load","minor",6,2,"ok"
"Leg Raise + Reverse Crunch","","reps","minor",6,2,"ok"
"Leg raises","","reps","minor",6,2,"ok"
"Leg raises","Incline","reps","minor",6,2,"ok"
"Lying Shoulder External Rotation","","load","minor",5,1,"ok"
"Lying Shoulder Internal Rotation","","load","minor",4,1,"ok"
"One-Arm Row","","load","minor",7,3,"ok"
"One-Arm Row","Flared","load","minor",0,0,"no_mapping"
"One-Arm Row","Flared Pronated","load","minor",0,0,"no_mapping"
"One-Arm Row","Normal","load","minor",0,0,"no_mapping"
"One-Arm Row","Pronated","load","minor",6,3,"ok"
"Pelvic Tilt","","reps","minor",4,2,"ok"
"Plank","","time","minor",7,3,"ok"
"Prone Y Raises","","load","minor",3,1,"ok"
"Pull-up","","hybrid","minor",9,3,"ok"
"Pull-up","Normal Grip","hybrid","minor",0,0,"no_mapping"
"Push-up","","hybrid","minor",10,3,"ok"
"Push-up wide feet up","","hybrid","minor",0,0,"no_mapping"
"RDL","","load","major",8,4,"ok"
"Rear Delt Row","","load","minor",6,2,"ok"
"Reverse Crunch","","reps","minor",6,2,"ok"
"Reverse Curl","","load","minor",3,1,"ok"
"Reverse Fly","","load","minor",6,2,"ok"
"Reverse wrist curl","","load","minor",3,1,"ok"
"Russian Twist","","reps","minor",4,2,"ok"
"Scapular pull-up","","reps","minor",6,2,"ok"
"Scapular row","","reps","minor",5,2,"ok"
"Seated Forearm Curl","","load","minor",3,1,"ok"
"Shoulder Press","","load","minor",8,2,"ok"
"Shrug","","load","minor",6,1,"ok"
"Side Bend","","load","minor",3,1,"ok"
"Side-Lying Hip Abduction","","reps","minor",4,2,"ok"
"Side-Lying Hip Abduction","Bent Knee","reps","minor",4,2,"ok"
"Side Plank with Hip Drops","","reps","minor",7,4,"ok"
"Side Plank with Hip Drops","Elevated","reps","minor",7,4,"ok"
"Sit-Up","","reps","minor",4,1,"ok"
"Sit-Up","Decline","reps","minor",4,1,"ok"
"Sit-Up","Incline","reps","minor",4,1,"ok"
"Step back Lunge","","hybrid","minor",9,5,"ok"
"Straight Leg Stretch","","stretch","minor",2,0,"incomplete"
"Supine Pelvic Tilts","","reps","minor",4,2,"ok"
"Wall/Floor Glides","","stretch","minor",10,3,"ok"
"Wrist Curl","","load","major",5,3,"ok"
