"name","variation","log_count","first_logged","last_logged","variation_type","mapping_status"
"Shoulder Press","",63,"2025-05-19","2026-06-04","minor","explicit_mapping"
"Pull-up","",59,"2025-06-05","2026-06-04","minor","explicit_mapping"
"Dead Bug","",56,"2025-06-09","2026-05-28","minor","explicit_mapping"
"Bench Press","",53,"2025-05-19","2026-06-04","major","explicit_mapping"
"Lateral Raise","",47,"2025-05-19","2026-05-15","minor","explicit_mapping"
"Reverse Crunch","",36,"2025-05-19","2026-05-18","minor","explicit_mapping"
"Plank","",34,"2025-06-03","2026-06-04","minor","explicit_mapping"
"Reverse wrist curl","",27,"2025-06-12","2026-05-21","minor","explicit_mapping"
"Bicep Curl","Hammer Incline",26,"2025-07-04","2026-06-01","major","explicit_mapping"
"Fire Hydrant","",25,"2025-05-19","2026-04-28","minor","explicit_mapping"
"One-Arm Row","",23,"2025-05-24","2026-06-04","minor","explicit_mapping"
"Heel Drop","",22,"2025-07-17","2026-05-28","minor","explicit_mapping"
"Lat Pullover","",20,"2025-05-27","2026-03-27","minor","explicit_mapping"
"Hamstring Floor Curl","",18,"2025-05-19","2026-05-25","major","explicit_mapping"
"One-Arm Row","Pronated",18,"2025-05-20","2026-03-24","minor","explicit_mapping"
"Bench Press","Incline",17,"2025-05-26","2025-10-26","major","explicit_mapping"
"Chest Fly","",17,"2025-06-07","2026-06-04","minor","explicit_mapping"
"Hollow Hold","",17,"2025-05-26","2026-06-01","minor","explicit_mapping"
"Crunch","",15,"2025-06-11","2026-06-01","minor","explicit_mapping"
"Wrist Curl","",15,"2025-05-20","2026-03-19","major","explicit_mapping"
"Bulgarian Split Squat","",14,"2025-09-30","2026-03-30","major","explicit_mapping"
"Pistol Squat","",14,"2025-11-21","2026-06-01",NULL,"missing_meta"
"Fingerboard Hang","",13,"2025-07-08","2025-10-30","minor","explicit_mapping"
"Finger Rolls","",13,"2025-10-28","2026-05-28",NULL,"missing_meta"
"Side Bend","",13,"2025-06-03","2026-03-26","minor","explicit_mapping"
"Side Plank with Hip Drops","",13,"2025-05-24","2026-03-09","minor","explicit_mapping"
"Bench Dips","",12,"2025-05-20","2026-04-14","minor","explicit_mapping"
"Bicep Curl","Incline",12,"2025-05-27","2026-04-09","major","explicit_mapping"
"Lying Shoulder External Rotation","",12,"2025-05-19","2025-10-30","minor","explicit_mapping"
"Reverse Fly","",12,"2025-05-27","2025-12-04","minor","explicit_mapping"
"Rear Delt Row","",11,"2025-06-29","2025-11-25","minor","explicit_mapping"
"Squat","",10,"2025-11-11","2026-04-14",NULL,"missing_meta"
"Leg raises","",9,"2025-06-07","2025-08-25","minor","explicit_mapping"
"Toe Lifts","",8,"2025-11-06","2026-05-15",NULL,"missing_meta"
"Glute Bridge","",7,"2025-05-26","2025-09-05","minor","explicit_mapping"
"Lying Shoulder Internal Rotation","",7,"2025-05-19","2025-10-30","minor","explicit_mapping"
"Scapular pull-up","",7,"2025-06-09","2026-04-16","minor","explicit_mapping"
"Side-Lying Hip Abduction","",7,"2025-07-22","2025-12-17","minor","explicit_mapping"
"Side Plank","",7,"2026-04-10","2026-05-18",NULL,"missing_meta"
"Bench Dips","Feet Elevated",6,"2025-07-28","2025-11-20","minor","explicit_mapping"
"Chest Fly","Flat",6,"2025-07-14","2025-08-21","major","explicit_mapping"
"Hip Thrust","",6,"2025-07-28","2025-11-06","major","explicit_mapping"
"Push-up","",6,"2025-05-24","2025-10-06","minor","explicit_mapping"
"Chest supported row","",5,"2025-12-01","2025-12-29",NULL,"missing_meta"
"Db Kickbacks","",5,"2025-06-27","2025-07-25","minor","explicit_mapping"
"Russian Twist","",5,"2025-05-24","2026-05-05","minor","explicit_mapping"
"Hanging Leg Raise","",4,"2025-06-05","2025-08-19","minor","explicit_mapping"
"Leg Raise + Reverse Crunch","",4,"2025-07-08","2025-07-21","minor","explicit_mapping"
"RDL","",4,"2025-06-02","2025-11-06","major","explicit_mapping"
"Sit-Up","Incline",4,"2025-07-26","2025-08-18","minor","explicit_mapping"
"Bicep Curl","Hammer",3,"2025-07-01","2025-07-11","major","explicit_mapping"
"Kickbacks","",3,"2025-05-26","2025-06-09","minor","explicit_mapping"
"Reverse Curl","",3,"2025-07-29","2026-04-30","minor","explicit_mapping"
"Reverse Lunge","",3,"2025-11-25","2026-01-08",NULL,"missing_meta"
"Side Plank","Copenhagen",3,"2026-05-25","2026-06-04",NULL,"missing_meta"
"Side Plank with Hip Drops","Elevated",3,"2025-08-23","2025-10-02","minor","explicit_mapping"
"Bicep Curl","",2,"2025-07-26","2025-12-24","major","explicit_mapping"
"Bird dog plank","",2,"2025-06-13","2025-06-16","minor","explicit_mapping"
"Frog Stand","",2,"2026-04-17","2026-04-20",NULL,"missing_meta"
"Heel Drop","Single Leg",2,"2025-07-14","2025-10-28","minor","explicit_mapping"
"Heel Drop","Unsupported",2,"2026-04-30","2026-05-05",NULL,"missing_meta"
"Leg raises","Incline",2,"2025-07-01","2025-07-04","minor","explicit_mapping"
"Lunge","",2,"2026-05-28","2026-06-04",NULL,"missing_meta"
"Pull-up","Wide Grip",2,"2025-11-03","2026-05-28",NULL,"missing_meta"
"Shrug","",2,"2025-07-10","2025-07-15","minor","explicit_mapping"
"Side-Lying Hip Abduction","Bent Knee",2,"2025-08-26","2025-09-01","minor","explicit_mapping"
"Sit-Up","",2,"2025-05-27","2025-06-05","minor","explicit_mapping"
"Sit-Up","Decline",2,"2025-07-15","2025-07-24","minor","explicit_mapping"
"Ab Rollout","",1,"2025-06-19","2025-06-19","minor","explicit_mapping"
"Bicep Curl","Zottman",1,"2025-06-03","2025-06-03","major","explicit_mapping"
"Bulgarian Split Squat","Glutes",1,"2025-11-03","2025-11-03",NULL,"missing_meta"
"Frog Pump","",1,"2025-06-11","2025-06-11","minor","unmapped"
"Frog Pump Hold","",1,"2025-06-10","2025-06-10","minor","unmapped"
"Front Raise","",1,"2025-06-24","2025-06-24","minor","explicit_mapping"
"Heel Drop","Bent Knee",1,"2025-07-11","2025-07-11","minor","explicit_mapping"
"Heel Drop","Bent Knee Single Leg",1,"2025-07-15","2025-07-15","minor","explicit_mapping"
"Hip Rotation Stretch","",1,"2025-06-11","2025-06-11","minor","explicit_mapping"
"L-Sit","Floor Raised",1,"2026-04-21","2026-04-21",NULL,"missing_meta"
"Pelvic Tilt","",1,"2025-05-27","2025-05-27","minor","explicit_mapping"
"Pistol Squat","Assisted",1,"2026-04-17","2026-04-17",NULL,"missing_meta"
"Plank","Feet Elevated",1,"2026-04-10","2026-04-10",NULL,"missing_meta"
"Prone Y Raises","",1,"2025-06-09","2025-06-09","minor","explicit_mapping"
"Quad curl","",1,"2025-11-19","2025-11-19",NULL,"missing_meta"
"Reverse Crunch","Incline",1,"2025-06-19","2025-06-19",NULL,"missing_meta"
"Scapular row","",1,"2025-06-05","2025-06-05","minor","explicit_mapping"
"Step back Lunge","",1,"2025-05-26","2025-05-26","minor","explicit_mapping"
"Straight Leg Stretch","",1,"2025-06-11","2025-06-11","minor","explicit_mapping"
"Superman","",1,"2025-10-27","2025-10-27",NULL,"missing_meta"
"Supine Pelvic Tilts","",1,"2025-06-07","2025-06-07","minor","explicit_mapping"
"Wall/Floor Glides","",1,"2025-05-20","2025-05-20","minor","explicit_mapping"
"Wall Sit","",1,"2026-03-27","2026-03-27",NULL,"missing_meta"
