"name","variation","target_path","contribution"
"Ab Rollout","","core",1.0
"Ab Rollout","","core.abs",1.0
"Ab Rollout","","core.abs.rectus_abdominis",0.60
"Ab Rollout","","upper",1.0
"Ab Rollout","","upper.back",1.0
"Ab Rollout","","upper.back.latissimus_dorsi",0.20
"Ab Rollout","","upper.chest",1.0
"Ab Rollout","","upper.chest.serratus_anterior",0.20
"Bench Dips","","upper",1.0
"Bench Dips","","upper.arms",1.0
"Bench Dips","","upper.arms.triceps_brachii",1.0
"Bench Dips","","upper.arms.triceps_brachii.lateral_head",0.40
"Bench Dips","","upper.arms.triceps_brachii.long_head",0.40
"Bench Dips","","upper.arms.triceps_brachii.medial_head",0.20
"Bench Dips","Feet Elevated","upper",1.0
"Bench Dips","Feet Elevated","upper.arms",1.0
"Bench Dips","Feet Elevated","upper.arms.triceps_brachii",1.0
"Bench Dips","Feet Elevated","upper.arms.triceps_brachii.lateral_head",0.40
"Bench Dips","Feet Elevated","upper.arms.triceps_brachii.long_head",0.40
"Bench Dips","Feet Elevated","upper.arms.triceps_brachii.medial_head",0.20
"Bench Press","","upper",1.0
"Bench Press","","upper.arms",1.0
"Bench Press","","upper.arms.triceps_brachii",1.0
"Bench Press","","upper.arms.triceps_brachii.long_head",0.25
"Bench Press","","upper.chest",1.0
"Bench Press","","upper.chest.pectoralis_major",1.0
"Bench Press","","upper.chest.pectoralis_major.sternal",0.60
"Bench Press","","upper.shoulders",1.0
"Bench Press","","upper.shoulders.deltoid",1.0
"Bench Press","","upper.shoulders.deltoid.anterior",0.15
"Bench Press","Flat","upper",1.0
"Bench Press","Flat","upper.arms",1.0
"Bench Press","Flat","upper.arms.triceps_brachii",1.0
"Bench Press","Flat","upper.arms.triceps_brachii.long_head",0.25
"Bench Press","Flat","upper.chest",1.0
"Bench Press","Flat","upper.chest.pectoralis_major",1.0
"Bench Press","Flat","upper.chest.pectoralis_major.sternal",0.60
"Bench Press","Flat","upper.shoulders",1.0
"Bench Press","Flat","upper.shoulders.deltoid",1.0
"Bench Press","Flat","upper.shoulders.deltoid.anterior",0.15
"Bench Press","Incline","upper",1.0
"Bench Press","Incline","upper.arms",1.0
"Bench Press","Incline","upper.arms.triceps_brachii",1.0
"Bench Press","Incline","upper.arms.triceps_brachii.long_head",0.20
"Bench Press","Incline","upper.chest",1.0
"Bench Press","Incline","upper.chest.pectoralis_major",1.0
"Bench Press","Incline","upper.chest.pectoralis_major.clavicular",0.50
"Bench Press","Incline","upper.shoulders",1.0
"Bench Press","Incline","upper.shoulders.deltoid",1.0
"Bench Press","Incline","upper.shoulders.deltoid.anterior",0.30
"Bicep Curl","","upper",1.0
"Bicep Curl","","upper.arms",1.0
"Bicep Curl","","upper.arms.biceps_brachii",1.0
"Bicep Curl","","upper.arms.biceps_brachii.long_head",0.50
"Bicep Curl","","upper.arms.biceps_brachii.short_head",0.50
"Bicep Curl","Hammer","upper",1.0
"Bicep Curl","Hammer","upper.arms",1.0
"Bicep Curl","Hammer","upper.arms.biceps_brachii",1.0
"Bicep Curl","Hammer","upper.arms.biceps_brachii.long_head",0.10
"Bicep Curl","Hammer","upper.arms.brachialis",0.60
"Bicep Curl","Hammer","upper.arms.brachioradialis",0.30
"Bicep Curl","Hammer Incline","upper",1.0
"Bicep Curl","Hammer Incline","upper.arms",1.0
"Bicep Curl","Hammer Incline","upper.arms.biceps_brachii",1.0
"Bicep Curl","Hammer Incline","upper.arms.biceps_brachii.long_head",0.40
"Bicep Curl","Hammer Incline","upper.arms.brachialis",0.50
"Bicep Curl","Hammer Incline","upper.arms.brachioradialis",0.10
"Bicep Curl","Incline","upper",1.0
"Bicep Curl","Incline","upper.arms",1.0
"Bicep Curl","Incline","upper.arms.biceps_brachii",1.0
"Bicep Curl","Incline","upper.arms.biceps_brachii.long_head",0.70
"Bicep Curl","Incline","upper.arms.biceps_brachii.short_head",0.30
"Bicep Curl","Zottman","upper",1.0
"Bicep Curl","Zottman","upper.arms",1.0
"Bicep Curl","Zottman","upper.arms.biceps_brachii",1.0
"Bicep Curl","Zottman","upper.arms.biceps_brachii.long_head",0.30
"Bicep Curl","Zottman","upper.arms.biceps_brachii.short_head",0.20
"Bicep Curl","Zottman","upper.arms.brachioradialis",0.50
"Bird dog plank","","core",1.0
"Bird dog plank","","core.deep",1.0
"Bird dog plank","","core.deep.multifidus",0.50
"Bird dog plank","","core.deep.quadratus_lumborum",0.20
"Bird dog plank","","core.spinal_erectors",1.0
"Bird dog plank","","core.spinal_erectors.lumbar",0.30
"Bird dog plank","","lower",1.0
"Bird dog plank","","lower.glutes",1.0
"Bird dog plank","","lower.glutes.gluteus_maximus",0.20
